Title,Repository,URL,Created Date,Labels,State,Comments Count
progress-bar: animation cannot be stopped,vaadin/web-components,https://github.com/vaadin/web-components/issues/134,2021-03-17,"good first issue, a11y, vaadin-progress-bar",open,1
app-layout: modal drawer can't be closed with the keyboard,vaadin/web-components,https://github.com/vaadin/web-components/issues/123,2021-03-17,"enhancement, good first issue, a11y, a11y phase 3",open,2
grid: selected rows only indicated using colour,vaadin/web-components,https://github.com/vaadin/web-components/issues/107,2021-03-17,"enhancement, good first issue, a11y, needs design, a11y phase 3",open,4
Edit on focus doesn't work when horizontal scroll bar moved,angular-ui/ui-grid,https://github.com/angular-ui/ui-grid/issues/7134,2020-11-25,"grid-edit, a11y, good first issue",open,7
Fix accessibility issues.,joneskj55/bioSite,https://github.com/joneskj55/bioSite/issues/1,2020-11-24,"enhancement, good first issue, a11y",open,0
Syntax highlighting contrast,datenanfragen/website,https://github.com/datenanfragen/website/issues/491,2020-11-07,"help wanted, good first issue, a11y, hacktoberfest",open,7
Tap targets are not sized appropriately,MLTSHP/mltshp-patterns,https://github.com/MLTSHP/mltshp-patterns/issues/256,2020-10-10,"good first issue, a11y",open,0
Accessibility Review,MLTSHP/mltshp-patterns,https://github.com/MLTSHP/mltshp-patterns/issues/225,2020-09-21,"good first issue, help wanted, a11y",open,0
Add some example CSS to illustrate some best practices on accessible styling,mefechoel/svelte-navigator,https://github.com/mefechoel/svelte-navigator/issues/11,2020-08-15,"documentation, good first issue, a11y",open,0
Update grow inputs to be accessible,chef/automate,https://github.com/chef/automate/issues/4175,2020-08-03,"good first issue, a11y, ui, automate-ui",open,0
Sponsor links on Agenda,dddwa/dddperth-website,https://github.com/dddwa/dddperth-website/issues/239,2020-02-05,"good first issue, a11y",open,0
Reorganize structure?,tpage99/a11yfirst,https://github.com/tpage99/a11yfirst/issues/19,2019-10-20,"good first issue, hacktoberfest, a11y, discussion",open,3
a11y resources for web developers,tpage99/a11yfirst,https://github.com/tpage99/a11yfirst/issues/15,2019-10-19,"good first issue, hacktoberfest, a11y",open,5
Resources for individuals and families,tpage99/a11yfirst,https://github.com/tpage99/a11yfirst/issues/5,2019-10-18,"good first issue, hacktoberfest, a11y",open,1
Link styling and color contrast ratio issues,hurricane-response/response-theme,https://github.com/hurricane-response/response-theme/issues/80,2019-09-16,"good first issue, a11y, GHC 2019 OSD",open,0
Move text analyzer into proper window,Mudlet/Mudlet,https://github.com/Mudlet/Mudlet/issues/2933,2019-08-05,"enhancement, discussion, good first issue, a11y",open,2
Color Scheme needs Work for Contrast,SgiobairOg/onesie-js,https://github.com/SgiobairOg/onesie-js/issues/2,2019-06-07,"good first issue, A11y",open,0
Tabs accessibility,reactstrap/reactstrap,https://github.com/reactstrap/reactstrap/issues/1446,2019-03-26,"PR Welcome, a11y, BS compatibility, good first issue",open,3
Show home directory as tilde (~) on MacOS and Linux,camunda/camunda-modeler,https://github.com/camunda/camunda-modeler/issues/1191,2019-02-11,"enhancement, platform:Darwin, platform:Linux, backlog, good first issue, a11y",open,0
Invalid markup - Dashboard,cs-education/classTranscribe,https://github.com/cs-education/classTranscribe/issues/92,2019-01-26,"a11y, good first issue",open,1
Focus the iframes when moving through shot creation flow,mozilla-services/screenshots,https://github.com/mozilla-services/screenshots/issues/4670,2018-07-18,"good first issue, firefox, a11y",open,2
TabIndex in Menu,HomeServicesOfAmerica/styled-material-components,https://github.com/HomeServicesOfAmerica/styled-material-components/issues/284,2018-05-31,"bug, good first issue, a11y",open,0
roomsetting to strip HTML colours (as bridged from IRC),element-hq/element-web,https://github.com/element-hq/element-web/issues/5424,2017-10-24,"S-Tolerable, Help Wanted, T-Enhancement, A11y, O-Uncommon, good first issue, Hacktoberfest",open,8
ReSpec pill does not do A11Y stuff to announce opens / closes,speced/respec,https://github.com/speced/respec/issues/884,2016-07-20,"bug, a11y, good first issue",open,20
